genres_clean,avg_rating,book_count
personal development,4.031005917159764,169
high school,3.888303030303031,165
space,4.067333333333333,165
comic book,4.244606060606061,165
military fiction,4.1469182389937105,159
murder mystery,3.9759060402684563,149
classic literature,3.891216216216216,148
young adult contemporary,3.896180555555555,144
magical realism,3.8985314685314685,143
espionage,4.043021582733813,139
art,3.972720588235294,136
christianity,4.150223880597015,134
love,4.036992481203007,133
historical romance,4.099848484848485,132
france,3.9304580152671753,131
world war ii,4.090923076923077,130
lgbt,3.988837209302325,129
abuse,4.11515625,128
kids,4.203070866141732,127
asia,3.932936507936508,126
reference,4.08072,125
romantic suspense,4.183145161290323,124
space opera,4.0513008130081305,123
fairy tales,4.024180327868852,122
dragons,4.109586776859504,121
travel,3.9420833333333336,120
werewolves,4.1047899159663865,119
erotic romance,4.132773109243698,119
time travel,4.041694915254237,118
faith,4.187863247863248,117
college,4.060608695652174,115
witches,4.097807017543859,114
essays,4.0025892857142855,112
american history,4.1157407407407405,108
music,4.032056074766356,107
mental health,3.9782075471698115,106
demons,4.2069230769230765,104
sociology,3.9934313725490194,102
womens,3.8811764705882354,102
sports,4.067699999999999,100
gothic,3.9267000000000003,100
canada,3.987979797979798,99
christian fiction,4.132755102040816,98
read for school,3.8296938775510205,98
dark,4.020421052631579,95
feminism,3.935483870967742,93
leadership,4.03483870967742,93
plays,3.9447826086956526,92
angels,4.109111111111111,90
the united states of america,3.890681818181818,88
african american,4.046511627906977,86
ghosts,3.978720930232558,86
shapeshifters,4.181744186046512,86
theatre,3.9358536585365855,82
retellings,3.930987654320988,81
africa,4.0188749999999995,80
novella,4.0566249999999995,80
aliens,4.0165,80
southern,3.955897435897436,78
survival,3.9837662337662336,77
young adult romance,3.979733333333334,75
food,3.99027397260274,73
fae,4.117887323943662,71
medieval,4.122394366197183,71
queer,3.9869999999999997,70
health,4.042857142857143,70
india,3.8518840579710143,69
mental illness,3.9288405797101444,69
womens fiction,3.8377941176470594,68
theology,4.174393939393939,66
economics,3.9916666666666667,66
apocalyptic,3.9765151515151516,66
russia,4.072272727272727,66
italy,3.8763076923076922,65
japan,3.9553125,64
christian living,4.18203125,64
bdsm,4.061833333333333,60
new york,3.7991666666666664,60
medical,4.013559322033898,59
victorian,3.89551724137931,58
spy thriller,4.093508771929825,57
ireland,3.863157894736842,57
christian non fiction,4.180535714285715,56
german literature,4.008545454545454,55
superheroes,4.117272727272727,55
cultural,4.033148148148148,54
death,3.9674074074074075,54
holocaust,4.102962962962963,54
relationships,3.8479245283018866,53
steampunk,4.01173076923077,52
race,4.135769230769231,52
popular science,4.087692307692308,52
books about books,3.854313725490196,51
true crime,3.9724,50
nature,4.0686,50
zombies,4.0682,50
dark fantasy,4.161224489795918,49
storytime,4.222857142857142,49
education,4.0161224489795915,49
westerns,4.096666666666667,48
management,3.996458333333333,48
irish literature,3.8597916666666667,48
spanish literature,3.9817021276595743,47
french literature,3.915106382978723,47
futuristic,4.181304347826087,46
anthologies,4.073913043478261,46
regency,4.073478260869565,46
china,3.9395454545454545,44
buisness,4.000454545454546,44
indian literature,3.7788636363636368,44
finance,4.051428571428572,42
alternate history,3.9770731707317073,41
scotland,3.9946341463414634,41
fairies,3.9321951219512195,41
australia,3.917560975609756,41
military history,4.193,40
russian literature,4.067179487179487,39
japanese literature,3.9358974358974357,39
journalism,4.0746153846153845,39
jewish,3.9215384615384616,39
anime,4.282631578947369,38
medicine,4.088947368421053,38
cyberpunk,3.994324324324324,37
productivity,4.014324324324324,37
physics,4.1113513513513515,37
regency romance,4.116666666666666,36
cooking,4.003142857142858,35
art history,3.877142857142857,35
legal thriller,3.8805714285714283,35
dc comics,4.13,35
sports romance,4.142,35
asian literature,3.8491176470588235,34
writing,4.0064705882352944,34
greek mythology,4.242058823529412,34
christmas,3.9915151515151517,33
biology,4.0633333333333335,33
germany,4.0075,32
latin american,4.0628125,32
noir,4.035625,32
scandinavian literature,3.9493548387096773,31
entrepreneurship,4.008709677419355,31
design,3.9170967741935487,31
shojo,4.248666666666667,30
roman,3.9806666666666666,30
dogs,4.046,30
theory,3.9650000000000003,30
environment,4.046551724137931,29
technology,4.000357142857143,28
18th century,3.8275,28
holiday,3.996785714285714,28
anthropology,4.0575,28
law,3.9785714285714286,28
psychological thriller,3.8374074074074076,27
political science,3.957037037037037,27
arthurian,4.053333333333334,27
new age,4.0781481481481485,27
cookbooks,4.013461538461538,26
italian literature,3.9426923076923077,26
cats,4.211153846153846,26
batman,4.1292307692307695,26
presidents,4.0927999999999995,25
marriage,3.8116000000000003,25
historical mystery,3.9736000000000002,25
english literature,3.8992,25
gay,4.056666666666667,24
mathematics,4.088333333333334,24
animal fiction,4.208749999999999,24
americana,3.9295833333333334,24
social justice,4.255217391304348,23
cozy mystery,3.927391304347826,23
pop culture,3.9395652173913045,23
dungeons and dragons,4.15,23
atheism,4.001739130434783,23
banned books,3.860909090909091,22
art design,3.8622727272727273,22
musicians,4.113333333333333,21
money,4.1223809523809525,21
civil war,4.0285714285714285,21
sweden,3.9523809523809526,21
ancient,3.9957142857142856,21
latin american literature,4.022380952380952,21
christian romance,4.3100000000000005,20
astronomy,4.0985,20
historical fantasy,4.072105263157895,19
evolution,4.06,19
tudor period,4.015789473684211,19
neuroscience,4.0,19
academic,3.9578947368421056,19
folklore,4.13,18
diary,4.184444444444444,18
world history,3.9777777777777774,18
police,4.126666666666667,18
nordic noir,3.9194444444444443,18
buddhism,4.147058823529412,17
collections,4.052941176470589,17
metaphysics,4.048235294117647,17
childrens classics,4.0717647058823525,17
foodie,4.0,17
canadian literature,3.915625,16
marvel,4.126875,16
m m romance,4.095,16
weird fiction,3.9875,16
forgotten realms,4.16,16
parenting,3.9775,16
17th century,3.794375,16
gender,3.9925,16
southern gothic,3.999375,16
star wars,3.9866666666666664,15
comic fantasy,4.1706666666666665,15
ancient history,4.018,15
comic strips,4.667333333333334,15
pirates,4.096666666666667,15
communication,3.9699999999999998,15
social science,3.920666666666667,15
hard science fiction,4.0040000000000004,15
sexuality,3.7853333333333334,15
16th century,3.9979999999999998,15
modern,3.6593333333333335,15
food and drink,4.09,14
czech literature,3.967142857142857,14
egypt,3.9807142857142854,14
european history,4.042857142857143,14
disability,4.132857142857143,14
spain,3.9642857142857144,14
21st century,3.7323076923076925,13
greece,4.025384615384615,13
swedish literature,4.009230769230769,13
modern classics,3.8825000000000003,12
teaching,4.115,12
rock n roll,3.9883333333333333,12
young adult paranormal,4.120833333333334,12
adoption,3.9008333333333334,12
nutrition,4.0,12
fairy tale retellings,3.901666666666667,12
culinary,4.118333333333333,12
personal finance,4.1450000000000005,12
fighters,4.1475,12
church,4.327272727272727,11
language,3.9909090909090907,11
photography,4.001818181818181,11
film,4.1036363636363635,11
lesbian,3.894545454545454,11
american revolution,4.002727272727273,11
shonen,4.298181818181818,11
horses,4.016363636363637,11
how to,3.9654545454545453,11
iran,4.070909090909091,11
true story,4.104,10
world war i,4.103,10
brain,3.9539999999999997,10
medieval romance,4.21,10
football,3.8840000000000003,10
aviation,4.082222222222223,9
us presidents,4.163333333333333,9
sword and sorcery,4.124444444444445,9
romantic,3.5244444444444443,9
dragonlance,4.112222222222222,9
road trip,4.0088888888888885,9
boarding school,3.731111111111111,9
architecture,3.9455555555555555,9
islam,4.014444444444445,9
poverty,4.064444444444444,9
american civil war,4.142222222222222,9
wolves,4.176666666666667,9
lds,4.3933333333333335,9
baseball,4.075555555555556,9
nigeria,3.84375,8
counselling,4.03125,8
history of science,4.025,8
african literature,3.83125,8
lovecraftian,4.15375,8
love story,3.56625,8
south africa,4.13875,8
society,4.0425,8
drawing,3.8912500000000003,8
bande dessine,4.06125,8
quantum mechanics,4.0975,8
menage,4.075714285714286,7
microhistory,3.8714285714285714,7
cults,3.9414285714285713,7
gender studies,3.91,7
diets,3.9899999999999998,7
hard boiled,4.115714285714286,7
halloween,3.9171428571428573,7
eastern philosophy,4.159999999999999,7
linguistics,3.994285714285714,7
portugal,3.9014285714285712,7
hockey,4.091428571428572,7
superman,4.131428571428571,7
israel,4.105714285714286,7
robots,4.105714285714286,7
criticism,3.9,7
native americans,4.0616666666666665,6
art and photography,4.058333333333334,6
music biography,3.9966666666666666,6
turkish,3.8000000000000003,6
14th century,4.148333333333333,6
american revolutionary war,4.06,6
social work,4.116666666666666,6
prayer,4.218333333333333,6
portuguese literature,3.935,6
turkish literature,3.8000000000000003,6
birds,4.133333333333334,6
outdoors,4.033333333333333,6
sustainability,4.0183333333333335,6
catholic,4.048333333333333,6
natural history,4.035,6
discipleship,4.233333333333333,6
fitness,4.0249999999999995,6
literary criticism,3.9316666666666666,6
judaism,4.006666666666667,6
fantasy romance,4.198333333333333,6
mermaids,3.905,6
computers,3.9916666666666667,6
crafts,4.0183333333333335,6
military science fiction,4.113333333333333,6
comedian,3.866666666666667,6
government,3.9219999999999997,5
engineering,4.196,5
knitting,3.9880000000000004,5
heroic fantasy,4.1259999999999994,5
15th century,3.946,5
emotion,4.228,5
prehistoric,3.7340000000000004,5
tragedy,3.8259999999999996,5
ecology,4.048,5
god,4.188,5
botswana,3.974,5
sequential art,3.978,5
anti racist,4.426,5
motorcycle,4.262,5
new weird,3.896,5
ghost stories,3.9880000000000004,5
psychoanalysis,4.006,5
short story collection,4.14,5
fostering,4.0840000000000005,5
banks,4.118,5
taoism,4.108,5
travelogue,3.9159999999999995,5
mysticism,4.206,5
beauty and the beast,3.968,5
vegan,4.114,5
zen,4.247999999999999,5
romanticism,4.0280000000000005,5
terrorism,4.074,5
genetics,3.912,5
geography,3.896,5
female authors,4.164,5
danish,3.9,4
polygamy,3.8,4
food writing,3.9875,4
lds non fiction,4.53,4
guides,4.27,4
unicorns,3.9775,4
urban,3.9275,4
basketball,4.1675,4
denmark,3.79,4
rabbits,4.13,4
computer science,4.23,4
psychiatry,4.095,4
climate change,3.81,4
visual art,3.9325,4
egyptian literature,4.025,4
folk tales,4.1475,4
amish,3.915,4
french revolution,4.0,4
african american literature,4.055,4
mixed martial arts,4.205,4
monsters,4.225,4
x men,4.145,4
archaeology,4.0675,4
m f romance,4.1075,4
pakistan,3.7775,4
mountaineering,4.0200000000000005,4
womens studies,3.935,4
social issues,4.055,4
1st grade,4.18,4
transport,4.1875,4
skepticism,4.04,4
christian historical fiction,4.422499999999999,4
gardening,4.04,3
victor frankenstein,3.9966666666666666,3
vegetarian,4.126666666666667,3
fandom,4.363333333333333,3
anglo saxon,4.296666666666667,3
aspergers,3.956666666666667,3
fashion,3.7133333333333334,3
cuisine,4.173333333333333,3
russian history,4.1499999999999995,3
rwanda,4.073333333333333,3
fables,4.170000000000001,3
gods,4.053333333333334,3
video games,4.173333333333333,3
hinduism,4.173333333333333,3
morocco,4.013333333333333,3
wizards,4.3566666666666665,3
biblical fiction,4.406666666666666,3
young adult historical fiction,4.013333333333333,3
occult,3.8266666666666667,3
lds fiction,4.2299999999999995,3
medieval history,4.023333333333333,3
near future,3.856666666666667,3
journal,4.153333333333333,3
pulp,3.8466666666666662,3
nursery rhymes,4.256666666666667,3
maritime,4.03,3
dinosaurs,3.8066666666666666,3
polish literature,4.013333333333334,3
lebanon,4.076666666666667,3
poland,4.16,3
poetry plays,4.37,3
logic,4.035,2
clean romance,4.255,2
cthulhu mythos,4.225,2
elves,4.135,2
trains,4.03,2
somalia,4.1850000000000005,2
brazil,4.0,2
cycling,4.0200000000000005,2
martial arts,4.26,2
plantagenet,4.335,2
new adult romance,4.18,2
american fiction,4.25,2
young readers,4.11,2
sudan,3.935,2
games,4.135,2
military romance,4.23,2
zimbabwe,3.835,2
chess,4.04,2
cult classics,4.029999999999999,2
teachers,4.359999999999999,2
musicals,4.1850000000000005,2
mormonism,3.995,2
transgender,4.0649999999999995,2
international relations,4.07,2
princesses,4.105,2
kenya,3.725,2
illness,4.220000000000001,2
punk,4.18,2
utopia,3.685,2
conspiracy theories,3.7350000000000003,2
prostitution,3.715,2
programming,4.244999999999999,2
journaling,3.955,2
counter culture,3.875,2
lesbian fiction,3.9299999999999997,2
sci fi fantasy,3.385,2
artificial intelligence,3.92,2
academia,3.905,2
wicca,4.025,2
wilderness,4.25,2
singularity,3.84,2
2nd grade,4.26,2
seinen,4.27,2
climbing,4.045,2
fan fiction,3.875,2
disease,3.91,1
time travel romance,4.23,1
ethiopia,4.28,1
walking,4.02,1
food history,3.73,1
40k,4.17,1
activism,4.08,1
technical,4.31,1
firefighters,4.08,1
witchcraft,4.01,1
dying earth,4.04,1
deception,3.25,1
divorce,3.68,1
european literature,3.95,1
the world,4.19,1
divination,4.18,1
ukraine,3.37,1
agriculture,4.04,1
alcohol,4.04,1
virtual reality,3.85,1
green,4.1,1
sword and planet,3.86,1
jazz,4.18,1
plants,4.05,1
led zeppelin,3.83,1
pornography,3.75,1
komik,4.36,1
coding,4.31,1
josei,4.21,1
queer lit,4.33,1
light novel,4.05,1
bangladesh,3.38,1
recreation,4.16,1
13th century,4.3,1
internet,3.5,1
back to school,4.26,1
indonesian literature,4.0,1
climate change fiction,3.83,1
bolivia,4.22,1
swashbuckling,4.16,1
malawi,4.07,1
chemistry,3.9,1
native american history,4.13,1
christian fantasy,4.04,1
church history,4.25,1
cities,3.91,1
burundi,4.01,1
magick,4.01,1
classical studies,4.05,1
buffy the vampire slayer,3.96,1
class,3.9,1
m m f,4.14,1
oral history,4.16,1
paganism,4.01,1
palaeontology,3.97,1
hungary,4.19,1
humanities,3.99,1
horse racing,4.2,1
spider man,4.06,1
social media,3.85,1
software,4.31,1
anthropomorphic,4.31,1
ghana,4.41,1
spanish civil war,3.79,1
geology,3.86,1
genderqueer,4.16,1
romanovs,4.25,1
geek,3.88,1
gastronomy,4.0,1
gaming,3.8,1
street art,3.83,1
futurism,3.98,1
fractured fairy tales,4.15,1
grad school,4.22,1
social,3.97,1
soccer,3.72,1
slice of life,4.23,1
slash fiction,3.96,1
sierra leone,4.14,1
graffiti,3.83,1
graphic novels manga,4.21,1
growth mindset,4.26,1
sex work,3.75,1
semiotics,4.11,1
hackers,3.95,1
science nature,4.0,1
health care,4.23,1
school stories,4.07,1
counting,4.29,1
conservation,4.33,1
12th century,4.27,1
